"","state","relparentrecog_gi","nondisc_gi","religiousexemption_gi","lgbtyouth_gi","healthcare_gi","crimjustice_gi","iddocs_gi","tally_gi","relparentrecog_so","nondisc_so","religiousexemption_so","lgbtyouth_so","healthcare_so","crimjustice_so","tally_so","tally_overall","pca_so","pca_gi"
"1","Alabama",0,0,-2.5,-4,-1,0,0,-7.5,1,0,-2.5,-1,0,0,-2.5,-10,-1.72009132311057,-1.39279771161203
"2","Alaska",0,1.75,0,0.25,1.5,-0.25,1.75,5,2,1.75,0,0.25,0.5,0.75,5.25,10.25,-0.532733188814233,-0.261009662835828
"3","American Samoa",0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,1,0,-1.17632402042049,-0.725984020871562
"4","Arizona",0,2.25,-1.5,-0.25,-1.25,0,-0.75,-1.5,2.5,2.25,-1.5,0.75,0.5,2,6.5,5,-0.403553321778573,-0.827549716113292
"5","Arkansas",0,-1,-1.5,-3,-2,-1,1.5,-7,2,-1,-1.5,-1,0.5,-1,-2,-9,-1.54229736470722,-1.34528813713009
"6","California",1,4.5,0,5,4.5,2.75,4,21.75,6,4.5,0,5,1.5,2.75,19.75,41.5,1.49483685704693,1.4184563426485
"7","Colorado",1,4.5,0,5,4.5,2.75,4,21.75,6,4.5,0,5,2,2.75,20.25,42,1.65804418145126,1.4184563426485
"8","Connecticut",1,4.5,-0.5,4.5,5,2,4,20.5,6,4.5,-0.5,4.5,1,2,17.5,38,1.06357116519939,1.24153377311356
"9","District of Columbia",1,4.5,0,4,5,2,4,20.5,6,4.5,0,4,1.5,2,18,38.5,1.25413543637916,1.27991944642635
"10","Delaware",1,3.5,0,3,4.5,1.5,2.75,16.25,4.75,3.5,0,3.5,2,1.5,15.25,31.5,1.00470131965695,0.915379609312416
"11","Florida",0,1.75,-1.5,-3,-2,-1,2.25,-3.5,1,2.75,-1.5,-1,0.5,0,1.75,-1.75,-1.06848298967801,-1.03018588241716
"12","Georgia",0,0,0,0,0,0.5,-3,-2.5,1,0,0,0,0.5,0.5,2,-0.5,-0.930169571535339,-0.814698383361525
"13","Guam",0,1.5,0,0,0.5,-0.25,-3,-1.25,2.75,1.5,0,1,0.5,0.75,6.5,5.25,-0.380697695569475,-0.738599908672063
"14","Hawaii",1,3.5,0,4,3.5,3,2.5,17.5,3.5,3.5,0,4,2,3,16,33.5,1.15554961277508,1.09879580721581
"15","Idaho",0,0.75,-0.5,-1,-0.5,-0.5,0.25,-1.5,2,0.75,-0.5,1,0,0.5,3.75,2.25,-0.85112134112262,-0.809367364331718
"16","Illinois",1,4.5,-1.5,5,5,3,2.5,19.5,5,4.5,-1.5,5,2,3,18,37.5,1.31811904460746,1.14321210686169
"17","Indiana",0,1.25,-0.5,-3,0,-1,-0.5,-3.75,4,1.25,-0.5,-1,1,-1,3.75,0,-0.698585766785912,-1.00054706585527
"18","Iowa",1,4.5,0,-1,1,-0.5,-2,3,2,4.5,0,2,1,0.5,10,13,0.109898239286948,-0.159090787235921
"19","Kansas",0,1.75,-1.5,-1,1,0,-2,-1.75,2,2.75,-2,0,1,1,4.75,3,-0.583691238276121,-0.871761275067944
"20","Kentucky",1,2.25,-0.5,-1.75,-1.5,-0.5,-1,-2,3.25,2.25,-0.5,0.25,0.5,0.5,6.25,4.25,-0.445860366318325,-0.595665094484141
"21","Louisiana",0,0,-0.5,-1,-1,-1,-1,-4.5,1,0,-0.5,0.5,0.5,0,1.5,-3,-1.0404736427916,-1.07617451740043
"22","Maine",1,4.5,0,4,4,3,4,20.5,6,4.5,0,4,1.5,3,19,39.5,1.4200296853408,1.34255972506504
"23","Maryland",1,3.5,0,4,4.25,1.5,3.5,17.75,3.75,3.5,0,4,1,1.5,13.75,31.5,0.611520279983477,1.03044355902005
"24","Massachusetts",1,4.5,0,4,5.5,1,2.5,18.5,6,4.5,0,4,1,2,17.5,36,1.09092811197483,1.06703739943153
"25","Michigan",1,3.5,-1,3,4,-0.5,3,13,2,3.5,-1,3,2,-0.5,9,22,0.100284243208246,0.486235600894628
