"","state","year","date","overall_max","so_max","gi_max","so_marriage_max","so_relationships_max","so_adoption_max","so_discrimination_max","so_religion_max","so_youth_max","so_health_safety_max","so_healthcare_max","so_crime_max","so_identity_max","gi_marriage_max","gi_relationships_max","gi_adoption_max","gi_discrimination_max","gi_religion_max","gi_youth_max","gi_health_safety_max","gi_healthcare_max","gi_crime_max","gi_identity_max","all_marriage_max","all_relationships_max","all_adoption_max","all_discrimination_max","all_religion_max","all_youth_max","all_health_safety_max","all_healthcare_max","all_crime_max","all_identity_max","overall","so","gi","so_marriage","so_relationships","so_adoption","so_discrimination","so_religion","so_youth","so_health_safety","so_healthcare","so_crime","so_identity","gi_marriage","gi_relationships","gi_adoption","gi_discrimination","gi_religion","gi_youth","gi_health_safety","gi_healthcare","gi_crime","gi_identity","all_marriage","all_relationships","all_adoption","all_discrimination","all_religion","all_youth","all_health_safety","all_healthcare","all_crime","all_identity","so_theme1_relationships_max","so_theme2_nondisc_max","so_theme3_identity_max","so_theme4_youth_max","so_theme5_healthcrim_max","gi_theme1_relationships_max","gi_theme2_nondisc_max","gi_theme3_identity_max","gi_theme4_youth_max","gi_theme5_healthcrim_max","theme1_relationships_max","theme2_nondisc_max","theme3_identity_max","theme4_youth_max","theme5_healthcrim_max","so_theme1_relationships","so_theme2_nondisc","so_theme3_identity","so_theme4_youth","so_theme5_healthcrim","gi_theme1_relationships","gi_theme2_nondisc","gi_theme3_identity","gi_theme4_youth","gi_theme5_healthcrim","theme1_relationships","theme2_nondisc","theme3_identity","theme4_youth","theme5_healthcrim","so_theme1_relationships_ord","so_theme2_nondisc_ord","so_theme3_identity_ord","so_theme4_youth_ord","so_theme5_healthcrim_ord","gi_theme1_relationships_ord","gi_theme2_nondisc_ord","gi_theme3_identity_ord","gi_theme4_youth_ord","gi_theme5_healthcrim_ord","theme1_relationships_ord","theme2_nondisc_ord","theme3_identity_ord","theme4_youth_ord","theme5_healthcrim_ord","overall_ord","so_ord","gi_ord","Region"
"1","Alabama",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,0,2.5,-2.5,0,2,2,-0.5,0,-0.5,-0.5,0,0,0,0,0,0,-0.5,0,-0.5,-0.5,0,0,-1,0,2,2,-1,0,-1,-1,0,0,-1,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4,-0.5,0,-0.5,-0.5,0,-0.5,-1,-0.5,-0.5,4,-1,-1,-1,-1,"Fair","Negative",NA,"Negative","Negative","Low","Negative","Negative","Negative","Negative","Low","Negative","Negative","Negative","Negative","Low","Low","Negative","South"
"2","Alaska",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,5.5,4.75,0.75,0,2,2,1.25,0,0,-0.5,0,0,0,0,0,0,0.75,0,0,1.5,0,0,-1.5,0,2,2,2,0,0,1,0,0,-1.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4,1.25,0,0,-0.5,0,0.75,-1.5,0,1.5,4,2,-1.5,0,1,"Fair","Fair",NA,"Low","Negative","Low","Low","Negative","Low","Fair","Low","Fair","Negative","Low","Low","Low","Low","Low","West"
"3","Arizona",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,3.5,5.5,-2,0,2,2.5,0.75,0,-0.5,0.75,0,0,0,0,0,0,0.25,0,-0.5,-1.25,0,0,-0.5,0,2,2.5,1,0,-1,-0.5,0,0,-0.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4.5,0.75,0,-0.5,0.75,0,0.25,-0.5,-0.5,-1.25,4.5,1,-0.5,-1,-0.5,"Fair","Low",NA,"Negative","Low","Low","Low","Negative","Negative","Negative","Fair","Low","Negative","Negative","Negative","Low","Fair","Negative","West"
"4","Arkansas",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,2.5,4,-1.5,0,2,2.5,-1,0,1,-0.5,0,0,0,0,0,0,-1,0,1,-0.5,0,0,-1,0,2,2.5,-2,0,2,-1,0,0,-1,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4.5,-1,0,1,-0.5,0,-1,-1,1,-0.5,4.5,-2,-1,2,-1,"Fair","Negative",NA,"Medium","Negative","Low","Negative","Negative","Medium","Negative","Fair","Negative","Negative","Medium","Negative","Low","Low","Negative","South"
"5","California",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,33.5,17.5,16,0,2.5,6,3.5,0,4,1.5,0,0,0,0,0,2,3.5,0,4,4,0,0,2.5,0,2.5,8,7,0,8,5.5,0,0,2.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,8.5,3.5,0,4,1.5,2,3.5,2.5,4,4,10.5,7,2.5,8,5.5,"High","High",NA,"High","Fair","Fair","High","High","High","High","Medium","High","High","High","Medium","High","High","High","West"
"6","Colorado",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,23.5,14,9.5,0,3,3,4.5,0,2,1.5,0,0,0,0,0,0,4.5,0,2,3.5,0,0,-0.5,0,3,3,9,0,4,5,0,0,-0.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,6,4.5,0,2,1.5,0,4.5,-0.5,2,3.5,6,9,-0.5,4,5,"Medium","High",NA,"High","Fair","Low","High","Negative","High","High","Fair","High","Negative","High","Medium","Medium","Medium","Fair","West"
"7","Connecticut",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,25.5,13.25,12.25,0,2.5,4,4,0,2,0.75,0,0,0,0,0,0,4,0,2,3.25,0,0,3,0,2.5,4,8,0,4,4,0,0,3,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,6.5,4,0,2,0.75,0,4,3,2,3.25,6.5,8,3,4,4,"Medium","High",NA,"High","Low","Low","High","High","High","High","Fair","High","High","High","Medium","Medium","Medium","Medium","Northeast"
"8","Delaware",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,16,10.5,5.5,0,2,3,3.5,0,0.5,1.5,0,0,0,0,0,0,3.5,0,0.5,2.5,0,0,-1,0,2,3,7,0,1,4,0,0,-1,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,5,3.5,0,0.5,1.5,0,3.5,-1,0.5,2.5,5,7,-1,1,4,"Medium","High",NA,"Fair","Fair","Low","High","Negative","Fair","Medium","Fair","High","Negative","Fair","Medium","Fair","Medium","Fair","South"
"9","DC",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,30,16,14,0,3,4.5,3.5,0,3,2,0,0,0,0,0,0,3.5,0,3,4.5,0,0,3,0,3,4.5,7,0,6,6.5,0,0,3,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,7.5,3.5,0,3,2,0,3.5,3,3,4.5,7.5,7,3,6,6.5,"High","High",NA,"High","Medium","Low","High","High","High","High","Fair","High","High","High","High","High","High","Medium","South"
"10","Florida",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,6.5,5.5,1,0,2,2,1,0,0,0.5,0,0,0,0,0,0,1,0,0,-0.5,0,0,0.5,0,2,2,2,0,0,0,0,0,0.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4,1,0,0,0.5,0,1,0.5,0,-0.5,4,2,0.5,0,0,"Fair","Fair",NA,"Low","Low","Low","Fair","Low","Low","Negative","Low","Fair","Low","Low","Low","Low","Fair","Low","South"
"11","Georgia",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,-0.5,4,-4.5,0,2,2,0,0,0.5,-0.5,0,0,0,0,0,0,0,0,0,-1.5,0,0,-3,0,2,2,0,0,0.5,-2,0,0,-3,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4,0,0,0.5,-0.5,0,0,-3,0,-1.5,4,0,-3,0.5,-2,"Fair","Low",NA,"Fair","Negative","Low","Low","Negative","Low","Negative","Low","Low","Negative","Low","Negative","Negative","Low","Negative","South"
"12","Hawaii",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,19.5,11.5,8,0,2.5,2.5,3.5,0,1,2,0,0,0,0,0,0,3.5,0,0.5,2,0,0,2,0,2.5,2.5,7,0,1.5,4,0,0,2,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,5,3.5,0,1,2,0,3.5,2,0.5,2,5,7,2,1.5,4,"Medium","High",NA,"Medium","Medium","Low","High","Medium","Fair","Medium","Fair","High","Medium","Fair","Medium","Fair","Medium","Fair","West"
"13","Idaho",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,2.5,4.25,-1.75,0,2,2.5,0.25,0,0,-0.5,0,0,0,0,0,0,0.25,0,0,-0.5,0,0,-1.5,0,2,2.5,0.5,0,0,-1,0,0,-1.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4.5,0.25,0,0,-0.5,0,0.25,-1.5,0,-0.5,4.5,0.5,-1.5,0,-1,"Fair","Low",NA,"Low","Negative","Low","Low","Negative","Low","Negative","Fair","Low","Negative","Low","Negative","Low","Low","Negative","West"
"14","Illinois",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,25,14,11,0,2,2.5,4,0,4,1.5,0,0,0,0,0,0,4,0,4,3.5,0,0,-0.5,0,2,2.5,8,0,8,5,0,0,-0.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4.5,4,0,4,1.5,0,4,-0.5,4,3.5,4.5,8,-0.5,8,5,"Fair","High",NA,"High","Fair","Low","High","Negative","High","High","Fair","High","Negative","High","Medium","Medium","Medium","Medium","Midwest"
"15","Indiana",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,6,5.25,0.75,0,2,3,0.75,0,0,-0.5,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,2,3,1.5,0,0,-0.5,0,0,0,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,5,0.75,0,0,-0.5,0,0.75,0,0,0,5,1.5,0,0,-0.5,"Medium","Low",NA,"Low","Negative","Low","Low","Low","Low","Low","Fair","Low","Low","Low","Negative","Low","Fair","Low","Midwest"
